,score
1576,57.3
1577,56.7
1578,53.9
1579,51.75
1580,49.75
1581,48.9
1582,47.85
1583,45.85
1584,43.85
1585,42.7
1586,46.9
1587,50.6
1588,50.2
1589,55.25
1590,55.15
1591,47.25
1592,60.0
1593,57.6
1594,56.5
1595,57.7
1596,59.3
1597,61.55
1598,65.0
1599,67.4
1600,68.4
1601,72.25
1602,74.95
1603,75.15
1604,77.95
1605,78.1
1606,75.15
1607,71.9
1608,73.55
1609,68.5
1610,68.05
1611,75.95
1612,71.8
1613,85.45
1614,87.7
1615,88.6
1616,90.6
1617,88.95
1618,86.1
1619,84.85
1620,86.5
1621,81.3
1622,88.55
1623,95.65
1624,98.55
1625,103.55
1626,109.3
1627,117.05
1628,120.4
1629,123.4
1630,128.45
1631,122.0
1632,111.7
1633,99.3
1634,96.65
1635,103.4
1636,103.45
1637,106.95
1638,108.35
1639,118.85
1640,122.65
1641,129.75
1642,127.75
1643,128.3
1644,128.45
1645,128.85
1646,126.3
1647,126.35
1648,131.15
1649,131.15
1650,132.35
1651,130.9
1652,129.25
1653,128.4
1654,129.45
1655,124.25
1656,124.75
1657,123.7
1658,121.5
1659,110.85
1660,106.65
1661,106.05
1662,100.85
1663,94.85
1664,94.4
1665,91.0
1666,98.3
1667,96.7
1668,98.85
1669,102.3
1670,107.8
1671,111.45
1672,122.45
1673,129.45
1674,138.6
1675,137.65
1676,144.8
1677,154.5
1678,163.4
1679,169.85
1680,172.45
1681,168.1
1682,166.9
1683,167.55
1684,174.65
1685,184.5
1686,177.1
1687,173.75
1688,165.65
1689,167.8
1690,167.55
1691,171.8
1692,175.85
1693,172.0
1694,164.3
1695,171.9
1696,161.1
1697,156.15
1698,152.25
1699,157.0
1700,167.2
1701,167.4
1702,177.35
1703,188.2
1704,181.9
1705,177.1
1706,184.6
1707,187.85
1708,187.65
1709,186.3
1710,177.35
1711,167.05
1712,158.65
1713,154.75
1714,155.7
1715,149.1
1716,159.25
1717,165.55
1718,165.95
1719,158.45
1720,149.5
1721,160.15
1722,160.2
1723,153.05
1724,151.65
1725,152.45
1726,144.15
1727,142.85
1728,147.1
1729,148.35
1730,156.35
1731,167.7
1732,166.05
1733,169.5
1734,169.35
1735,169.4
1736,162.35
1737,150.35
1738,154.5
1739,161.45
1740,161.55
1741,155.95
1742,150.0
1743,151.1
1744,151.25
1745,154.1
1746,158.35
1747,162.0
1748,159.85
1749,162.8
1750,153.8
1751,143.25
1752,145.6
1753,145.8
1754,153.65
1755,155.05
1756,162.1
1757,175.8
1758,172.95
1759,169.7
1760,168.15
1761,166.8
1762,163.45
1763,159.65
1764,158.8
1765,162.65
1766,159.45
1767,155.5
1768,150.75
1769,147.75
1770,151.05
1771,160.55
1772,158.4
1773,159.9
1774,163.25
1775,164.75
1776,164.65
1777,158.5
1778,162.3
1779,160.0
1780,164.1
1781,169.7
1782,179.0
1783,183.45
1784,181.2
1785,170.35
1786,176.25
1787,175.55
1788,184.55
1789,182.65
1790,179.95
1791,174.45
1792,172.45
1793,176.65
1794,167.35
1795,168.35
1796,161.5
1797,160.45
1798,160.2
1799,160.35
1800,156.95
1801,151.65
1802,144.65
1803,141.9
1804,140.9
1805,140.85
1806,135.05
1807,131.85
1808,126.2
1809,121.65
1810,124.95
1811,122.7
1812,134.55
1813,129.95
1814,125.35
1815,120.25
1816,121.65
1817,117.8
